"Unit_of_Analysis","Coach_ID","Name","Age","Hired","Year","Number_of_Interviews_That_Year","Previous_Job","Previous_Job_Coded","NFL_Playing_Experience","NFL_Coaching_Experience","Total_NFL_Experience","Black","White","Minority","OC","DC","HC"
"George Edwards 2019",39,"George Edwards",52,0,2019,1,"Defensive Coordinator",4,0,21,21,1,0,1,0,1,0
"Greg Roman 2015",40,"Greg Roman",42,0,2015,1,"Offensive Coordinator",3,0,14,14,0,1,0,1,0,0
"Greg Roman 2020",40,"Greg Roman",47,0,2020,1,"Offensive Coordinator",3,0,22,22,0,1,0,1,0,0
"Gregg Williams 2019",41,"Gregg Williams",60,0,2019,1,"Defensive Coordinator",4,0,28,28,0,1,0,0,1,0
"Harold Goodwin 2016",42,"Harold Goodwin",42,0,2016,1,"Offensive Coordinator",3,0,12,12,1,0,1,1,0,0
"Harold Goodwin 2017",42,"Harold Goodwin",43,0,2017,3,"Offensive Coordinator",3,0,13,13,1,0,1,1,0,0
"Hines Ward 2022",43,"Hines Ward",45,0,2022,1,"College Coach",6,14,2,16,1,0,1,0,0,0
"Hue Jackson 2015",44,"Hue Jackson",49,0,2015,1,"Offensive Coordinator",3,0,14,14,1,0,1,1,0,0
"Hue Jackson 2016",44,"Hue Jackson",50,1,2016,2,"Offensive Coordinator",3,0,15,15,1,0,1,1,0,0
"Hue Jackson 2019",44,"Hue Jackson",53,0,2019,1,"Head Coach Previous Season",1,0,19,19,1,0,1,0,0,1
"Jack Del Rio 2015",45,"Jack Del Rio",51,1,2015,1,"Defensive Coordinator",4,11,18,29,0,1,0,0,1,0
"James Bettcher 2018",46,"James Bettcher",39,0,2018,1,"Defensive Coordinator",4,0,6,6,0,1,0,0,1,0
"Jason Garrett 2021",47,"Jason Garrett",54,0,2021,1,"Offensive Coordinator",3,8,17,25,0,1,0,1,0,0
"Jerod Mayo 2021",48,"Jerod Mayo",34,0,2021,1,"Other NFL Job",5,8,2,10,1,0,1,0,0,0
"Jerod Mayo 2022",48,"Jerod Mayo",35,0,2022,2,"Other NFL Job",5,8,3,11,1,0,1,0,0,0
"Jerome Henderson 2016",49,"Jerome Henderson",46,0,2016,1,"Other NFL Job",5,7,8,15,1,0,1,0,0,0
"Jim Bob Cooter 2018",50,"Jim Bob Cooter",33,0,2018,1,"Offensive Coordinator",3,0,9,9,0,1,0,1,0,0
"Jim Caldwell 2019",51,"Jim Caldwell",64,0,2019,4,"Former Head Coach",2,0,17,17,1,0,1,0,0,0
"Jim Caldwell 2021",51,"Jim Caldwell",66,0,2021,1,"Former Head Coach",2,0,18,18,1,0,1,0,0,0
"Jim Caldwell 2022",51,"Jim Caldwell",67,0,2022,2,"Former Head Coach",2,0,18,18,1,0,1,0,0,0
"Jim Harbaugh 2022",52,"Jim Harbaugh",58,0,2022,1,"Former Head Coach",2,14,6,20,0,1,0,0,0,0
"Jim Schwartz 2015",53,"Jim Schwartz",48,0,2015,1,"Defensive Coordinator",4,0,22,22,0,1,0,0,1,0
"Jim Schwartz 2018",53,"Jim Schwartz",51,0,2018,1,"Defensive Coordinator",4,0,24,24,0,1,0,0,1,0
"Jim Schwartz 2020",53,"Jim Schwartz",53,0,2020,1,"Defensive Coordinator",4,0,26,26,0,1,0,0,1,0
"Jim Tomsula 2015",54,"Jim Tomsula",46,1,2015,1,"Other NFL Job",5,0,9,9,0,1,0,0,0,0
"Joe Brady 2021",55,"Joe Brady",31,0,2021,3,"Offensive Coordinator",3,0,3,3,0,1,0,1,0,0
"Joe Judge 2020",56,"Joe Judge",38,1,2020,1,"Other NFL Job",5,0,8,8,0,1,0,0,0,0
"Joe Lombardi 2022",57,"Joe Lombardi",50,0,2022,1,"Offensive Coordinator",3,0,16,16,0,1,0,1,0,0
"Joe Philbin 2019",58,"Joe Philbin",57,0,2019,1,"Offensive Coordinator",3,0,18,18,0,1,0,1,0,0
"John DeFilippo 2016",59,"John DeFilippo",37,0,2016,1,"Offensive Coordinator",3,0,9,9,0,1,0,1,0,0
"John DeFilippo 2018",59,"John DeFilippo",39,0,2018,2,"Other NFL Job",5,0,15,15,0,1,0,0,0,0
"John Fassel 2017",60,"John Fassel",43,0,2017,1,"Head Coach Previous Season",1,0,12,12,0,1,0,0,0,1
"John Fox 2015",61,"John Fox",60,1,2015,1,"Head Coach Previous Season",1,0,26,26,0,1,0,0,0,1
"Jon Gruden 2018",62,"Jon Gruden",54,1,2018,1,"Former Head Coach",2,0,18,18,0,1,0,0,0,0
"Jonathan Gannon 2022",63,"Jonathan Gannon",39,0,2022,3,"Defensive Coordinator",4,0,14,14,0,1,0,0,1,0
"Josh McCown 2021",64,"Josh McCown",41,0,2021,1,"Other NFL Job",5,16,0,16,0,1,0,0,0,0
"Josh McCown 2022",64,"Josh McCown",42,0,2022,1,"Other NFL Job",5,16,0,16,0,1,0,0,0,0
"Josh McDaniels 2015",65,"Josh McDaniels",38,0,2015,2,"Defensive Coordinator",4,0,14,14,0,1,0,0,1,0
"Josh McDaniels 2017",65,"Josh McDaniels",40,0,2017,3,"Offensive Coordinator",3,0,16,16,0,1,0,1,0,0
"Josh McDaniels 2018",65,"Josh McDaniels",41,0,2018,3,"Offensive Coordinator",3,0,17,17,0,1,0,1,0,0
"Josh McDaniels 2019",65,"Josh McDaniels",42,0,2019,1,"Offensive Coordinator",3,0,18,18,0,1,0,1,0,0
"Josh McDaniels 2020",65,"Josh McDaniels",43,0,2020,2,"Offensive Coordinator",3,0,19,19,0,1,0,1,0,0
"Josh McDaniels 2021",65,"Josh McDaniels",44,0,2021,1,"Offensive Coordinator",3,0,20,20,0,1,0,1,0,0
"Josh McDaniels 2022",65,"Josh McDaniels",45,1,2022,1,"Offensive Coordinator",3,0,21,21,0,1,0,1,0,0
"Keith Armstrong 2015",66,"Keith Armstrong",51,0,2015,1,"Other NFL Job",5,0,10,10,1,0,1,0,0,0
"Keith Armstrong 2018",66,"Keith Armstrong",54,0,2018,1,"Other NFL Job",5,0,14,14,1,0,1,0,0,0
"Kellen Moore 2021",67,"Kellen Moore",32,0,2021,1,"Offensive Coordinator",3,1,3,4,0,1,0,1,0,0
"Kellen Moore 2022",67,"Kellen Moore",33,0,2022,3,"Offensive Coordinator",3,1,4,5,0,1,0,1,0,0
"Kevin O'Connell 2022",68,"Kevin O'Connell",36,1,2022,3,"Offensive Coordinator",3,1,7,8,0,1,0,1,0,0
"Kevin Stefanski 2019",69,"Kevin Stefanski",36,0,2019,1,"Other NFL Job",5,0,13,13,0,1,0,0,0,0
"Kevin Stefanski 2020",69,"Kevin Stefanski",37,1,2020,1,"Offensive Coordinator",3,0,14,14,0,1,0,1,0,0
"Kliff Kingsbury 2019",70,"Kliff Kingsbury",39,1,2019,2,"College Coach",6,1,0,1,0,1,0,0,0,0
"Kris Richard 2017",71,"Kris Richard",37,0,2017,1,"Defensive Coordinator",4,4,7,11,1,0,1,0,1,0
"Kris Richard 2018",71,"Kris Richard",38,0,2018,1,"Defensive Coordinator",4,4,8,12,1,0,1,0,1,0
"Kris Richard 2019",71,"Kris Richard",39,0,2019,3,"Other NFL Job",5,4,9,13,1,0,1,0,0,0
"Kris Richard 2020",71,"Kris Richard",40,0,2020,1,"Other NFL Job",5,4,10,14,1,0,1,0,0,0
"Kyle Shanahan 2015",72,"Kyle Shanahan",35,0,2015,1,"Offensive Coordinator",3,0,11,11,0,1,0,1,0,0
"Kyle Shanahan 2017",72,"Kyle Shanahan",37,1,2017,3,"Offensive Coordinator",3,0,13,13,0,1,0,1,0,0
"Leslie Frazier 2018",73,"Leslie Frazier",58,0,2018,1,"Defensive Coordinator",4,5,20,25,1,0,1,0,1,0
"Leslie Frazier 2021",73,"Leslie Frazier",61,0,2021,1,"Defensive Coordinator",4,5,23,28,1,0,1,0,1,0
